PARAM,EXPERT1,EXPERT2,EXPERT3,EXPERT4,EXPERT5
BIRTH_HIGH,0.678571429,0.528571429,0.5,0.633333333,0.633333333
BIRTH_LOW,0.335714286,0.071428571,0.1,0.233333333,0.233333333
BIRTH_BEST,0.45,0.3,0.3,0.5,0.5
LITTER_HIGH,2.4,0.528571429,2.888888889,3.142857143,3.142857143
LITTER_LOW,1,0.071428571,1.111111111,0.857142857,0.857142857
LITTER_BEST,1.8,0.3,2,2,2
DISPM_HIGH,0.578571429,1,0.45,0.36,0.36
DISPM_LOW,0.155714286,0.266666667,0.156666667,0.04,0
DISPM_BEST,0.35,0.4,0.25,0.2,0.2
MEAND_HIGH,50,31.42857143,58.57142857,136.6666667,90
MEAND_LOW,10,5.142857143,4.857142857,16.66666667,10
MEAND_BEST,25,20,30,70,50
MAXD_HIGH,160,51.42857143,150,248,134
MAXD_LOW,45.71428571,5.714285714,36.66666667,40,0
MAXD_BEST,80,40,70,120,70
HR_HIGH,35000,29000,30000,61552,20000
HR_LOW,15000,3000,10000,23208,2000
HR_BEST,22500,16000,21700,26800,15000
MORTY1_HIGH,0.586666667,0.566666667,0.3,0.63,0.533333333
MORTY1_LOW,0.32,0.166666667,0.166666667,0.47,0.4
MORTY1_BEST,0.44,0.3,0.22,0.55,0.4
MORTA1_HIGH,0.306666667,0.49,0.626666667,0.43,0.35
MORTA1_LOW,0.133333333,0.09,0.346666667,0.27,0.083333333
MORTA1_BEST,0.2,0.13,0.48,0.35,0.15
MORTB1_HIGH,0.166666667,0.176666667,0.24,0.23,0.2
MORTB1_LOW,0.113333333,0.043333333,0.106666667,0.07,0.066666667
MORTB1_BEST,0.14,0.07,0.16,0.15,0.2
MORTY2_HIGH,0.646666667,0.666666667,0.38,0.86,0.666666667
MORTY2_LOW,0.38,0.266666667,0.14,0.54,0.4
MORTY2_BEST,0.46,0.4,0.26,0.7,0.4
MORTA2_HIGH,0.32,0.49,0.726666667,0.66,0.466666667
MORTA2_LOW,0.146666667,0.09,0.38,0.34,0.2
MORTA2_BEST,0.24,0.13,0.58,0.5,0.2
MORTB2_HIGH,0.19,0.68,0.32,0.56,0.566666667
MORTB2_LOW,0.136666667,0.04,0.106666667,0.24,0.3
MORTB2_BEST,0.15,0.2,0.28,0.4,0.3
MORTY3_HIGH,0.74,0.966666667,0.456666667,0.93,0.666666667
MORTY3_LOW,0.406666667,0.166666667,0.19,0.77,0.4
MORTY3_BEST,0.58,0.7,0.39,0.85,0.4
MORTA3_HIGH,0.376666667,0.866666667,0.91,0.86,0.633333333
MORTA3_LOW,0.176666667,0.333333333,0.483333333,0.54,0.5
MORTA3_BEST,0.27,0.6,0.67,0.7,0.5
MORTB3_HIGH,0.226666667,0.833333333,0.593333333,0.86,0.866666667
MORTB3_LOW,0.173333333,0.166666667,0.166666667,0.54,0.6
MORTB3_BEST,0.2,0.7,0.34,0.7,0.6
